<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE> 
BTC-USD,1,20180706,003100,6497.0100000
BTC-USD,1,20180706,003200,6497.0100000
BTC-USD,1,20180706,003300,6493.4900000
BTC-USD,1,20180706,003400,6493.5000000
BTC-USD,1,20180706,003500,6491.4800000
BTC-USD,1,20180706,003600,6496.0000000
BTC-USD,1,20180706,003700,6495.9800000
BTC-USD,1,20180706,003800,6494.3600000
BTC-USD,1,20180706,003900,6492.7200000
BTC-USD,1,20180706,004000,6492.7300000
BTC-USD,1,20180706,004100,6494.3500000
BTC-USD,1,20180706,004200,6494.3500000
BTC-USD,1,20180706,004300,6494.3500000
BTC-USD,1,20180706,004400,6494.3600000
BTC-USD,1,20180706,004500,6489.1800000
BTC-USD,1,20180706,004600,6494.3400000
BTC-USD,1,20180706,004700,6492.5800000
BTC-USD,1,20180706,004800,6494.1900000
BTC-USD,1,20180706,004900,6494.1800000
BTC-USD,1,20180706,005000,6490.7200000
BTC-USD,1,20180706,005100,6490.7200000
BTC-USD,1,20180706,005200,6488.7000000
BTC-USD,1,20180706,005300,6488.7100000
BTC-USD,1,20180706,005400,6488.3100000
BTC-USD,1,20180706,005500,6488.3100000
BTC-USD,1,20180706,005600,6488.3000000
BTC-USD,1,20180706,005700,6488.3100000
BTC-USD,1,20180706,005800,6488.3100000
BTC-USD,1,20180706,005900,6488.3100000
BTC-USD,1,20180706,010000,6488.3100000
BTC-USD,1,20180706,010100,6488.3100000
BTC-USD,1,20180706,010200,6488.3000000
BTC-USD,1,20180706,010300,6488.3100000
BTC-USD,1,20180706,010400,6488.3100000
BTC-USD,1,20180706,010500,6488.3100000
BTC-USD,1,20180706,010600,6488.3100000
BTC-USD,1,20180706,010700,6488.3100000
BTC-USD,1,20180706,010800,6488.3000000
BTC-USD,1,20180706,010900,6488.3100000
BTC-USD,1,20180706,011000,6488.3100000
BTC-USD,1,20180706,011100,6488.3100000
BTC-USD,1,20180706,011200,6488.3000000
BTC-USD,1,20180706,011300,6487.7700000
BTC-USD,1,20180706,011400,6487.2300000
BTC-USD,1,20180706,011500,6487.2400000
BTC-USD,1,20180706,011600,6484.0200000
BTC-USD,1,20180706,011700,6484.0200000
BTC-USD,1,20180706,011800,6484.0400000
BTC-USD,1,20180706,011900,6487.2400000
BTC-USD,1,20180706,012000,6487.2400000
BTC-USD,1,20180706,012100,6487.2400000
BTC-USD,1,20180706,012200,6487.2300000
BTC-USD,1,20180706,012300,6487.2400000
BTC-USD,1,20180706,012400,6487.2400000
BTC-USD,1,20180706,012500,6488.6900000
BTC-USD,1,20180706,012600,6494.3600000
BTC-USD,1,20180706,012700,6494.3600000
BTC-USD,1,20180706,012800,6494.3600000
BTC-USD,1,20180706,012900,6494.3600000
BTC-USD,1,20180706,013000,6494.3500000
BTC-USD,1,20180706,013100,6494.3500000
BTC-USD,1,20180706,013200,6494.3500000
BTC-USD,1,20180706,013300,6495.0000000
BTC-USD,1,20180706,013400,6497.1500000
BTC-USD,1,20180706,013500,6499.9800000
BTC-USD,1,20180706,013600,6525.0000000
BTC-USD,1,20180706,013700,6525.0400000
BTC-USD,1,20180706,013800,6524.9900000
BTC-USD,1,20180706,013900,6524.9800000
BTC-USD,1,20180706,014000,6540.0000000
BTC-USD,1,20180706,014100,6533.0400000
BTC-USD,1,20180706,014200,6515.8500000
BTC-USD,1,20180706,014300,6517.1500000
BTC-USD,1,20180706,014400,6523.0000000
BTC-USD,1,20180706,014500,6523.0000000
BTC-USD,1,20180706,014600,6523.0000000
BTC-USD,1,20180706,014700,6523.0000000
BTC-USD,1,20180706,014800,6523.0000000
BTC-USD,1,20180706,014900,6529.5000000
BTC-USD,1,20180706,015000,6529.5000000
BTC-USD,1,20180706,015100,6531.9700000
BTC-USD,1,20180706,015200,6532.0000000
BTC-USD,1,20180706,015300,6531.9700000
BTC-USD,1,20180706,015400,6529.0300000
BTC-USD,1,20180706,015500,6531.9900000
BTC-USD,1,20180706,015600,6538.3500000
BTC-USD,1,20180706,015700,6538.3400000
BTC-USD,1,20180706,015800,6531.9900000
BTC-USD,1,20180706,015900,6537.1600000
BTC-USD,1,20180706,020000,6538.3400000
BTC-USD,1,20180706,020100,6529.0600000
BTC-USD,1,20180706,020200,6532.7100000
BTC-USD,1,20180706,020300,6535.1700000
BTC-USD,1,20180706,020400,6538.4900000
BTC-USD,1,20180706,020500,6535.9000000
BTC-USD,1,20180706,020600,6535.2800000
BTC-USD,1,20180706,020700,6529.0600000
BTC-USD,1,20180706,020800,6534.0600000
BTC-USD,1,20180706,020900,6534.0600000
BTC-USD,1,20180706,021000,6532.0400000
BTC-USD,1,20180706,021100,6525.0100000
BTC-USD,1,20180706,021200,6529.0100000
BTC-USD,1,20180706,021300,6529.0100000
BTC-USD,1,20180706,021400,6527.3700000
BTC-USD,1,20180706,021500,6530.9900000
BTC-USD,1,20180706,021600,6531.0000000
BTC-USD,1,20180706,021700,6529.9000000
BTC-USD,1,20180706,021800,6529.8800000
BTC-USD,1,20180706,021900,6532.0000000
BTC-USD,1,20180706,022000,6528.0000000
BTC-USD,1,20180706,022100,6528.0100000
BTC-USD,1,20180706,022200,6528.0100000
BTC-USD,1,20180706,022300,6528.0600000
BTC-USD,1,20180706,022400,6530.0000000
BTC-USD,1,20180706,022500,6530.0000000
BTC-USD,1,20180706,022600,6529.9900000
BTC-USD,1,20180706,022700,6531.5100000
BTC-USD,1,20180706,022800,6533.0000000
BTC-USD,1,20180706,022900,6533.0000000
BTC-USD,1,20180706,023000,6533.0000000
BTC-USD,1,20180706,023100,6535.6000000
BTC-USD,1,20180706,023200,6536.4900000
BTC-USD,1,20180706,023300,6536.4900000
BTC-USD,1,20180706,023400,6536.4800000
BTC-USD,1,20180706,023500,6536.4800000
BTC-USD,1,20180706,023600,6536.4900000
BTC-USD,1,20180706,023700,6536.4900000
BTC-USD,1,20180706,023800,6536.4900000
BTC-USD,1,20180706,023900,6536.4800000
