<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150213,220500,17977.4200000
D,1,20150213,220600,17978.5400000
D,1,20150213,220700,17981.2100000
D,1,20150213,220800,17985.0300000
D,1,20150213,220900,17982.8600000
D,1,20150213,221000,17982.8800000
D,1,20150213,221100,17984.5500000
D,1,20150213,221200,17987.7600000
D,1,20150213,221300,17986.2200000
D,1,20150213,221400,17977.7700000
D,1,20150213,221500,17979.3800000
D,1,20150213,221600,17981.8200000
D,1,20150213,221700,17979.4700000
D,1,20150213,221800,17985.3200000
D,1,20150213,221900,17988.0500000
D,1,20150213,222000,17986.8300000
D,1,20150213,222100,17989.1400000
D,1,20150213,222200,17995.4600000
D,1,20150213,222300,17997.0700000
D,1,20150213,222400,17995.9800000
D,1,20150213,222500,17995.8800000
D,1,20150213,222600,18006.9600000
D,1,20150213,222700,18003.9700000
D,1,20150213,222800,18004.8400000
D,1,20150213,222900,18004.2600000
D,1,20150213,223000,18003.2700000
D,1,20150213,223100,18000.0900000
D,1,20150213,223200,17996.6500000
D,1,20150213,223300,17998.2300000
D,1,20150213,223400,17993.9400000
D,1,20150213,223500,17996.3600000
D,1,20150213,223600,17995.4000000
D,1,20150213,223700,17995.6200000
D,1,20150213,223800,17994.7600000
D,1,20150213,223900,17995.4000000
D,1,20150213,224000,17990.9700000
D,1,20150213,224100,17991.8000000
D,1,20150213,224200,17992.5700000
D,1,20150213,224300,17994.4700000
D,1,20150213,224400,17996.8800000
D,1,20150213,224500,17993.1800000
D,1,20150213,224600,17992.0300000
D,1,20150213,224700,18000.4100000
D,1,20150213,224800,17998.9700000
D,1,20150213,224900,17998.1700000
D,1,20150213,225000,17995.1800000
D,1,20150213,225100,17994.2400000
D,1,20150213,225200,17991.7800000
D,1,20150213,225300,17994.7900000
D,1,20150213,225400,17995.5300000
D,1,20150213,225500,17998.8400000
D,1,20150213,225600,18001.1200000
D,1,20150213,225700,18002.1800000
D,1,20150213,225800,18003.2000000
D,1,20150213,225900,18002.0100000
D,1,20150213,230000,18003.8100000
D,1,20150213,230100,17999.1200000
D,1,20150213,230200,17996.8800000
D,1,20150213,230300,17995.3000000
D,1,20150213,230400,17994.6000000
D,1,20150213,230500,17996.7200000
D,1,20150213,230600,18007.8600000
D,1,20150213,230700,18009.3000000
D,1,20150213,230800,18012.3600000
D,1,20150213,230900,18008.4900000
D,1,20150213,231000,18006.5400000
D,1,20150213,231100,18011.0700000
D,1,20150213,231200,18013.5100000
D,1,20150213,231300,18012.5800000
D,1,20150213,231400,18015.6300000
D,1,20150213,231500,18018.0200000
D,1,20150213,231600,18014.2800000
D,1,20150213,231700,18012.4500000
D,1,20150213,231800,18012.1700000
D,1,20150213,231900,18015.7600000
D,1,20150213,232000,18013.0000000
D,1,20150213,232100,18006.7700000
D,1,20150213,232200,18008.4400000
D,1,20150213,232300,18007.8600000
D,1,20150213,232400,18009.6900000
D,1,20150213,232500,18012.0000000
D,1,20150213,232600,18016.7200000
D,1,20150213,232700,18014.1200000
D,1,20150213,232800,18015.7300000
D,1,20150213,232900,18016.0800000
D,1,20150213,233000,18018.2000000
D,1,20150213,233100,18015.3100000
D,1,20150213,233200,18013.2200000
D,1,20150213,233300,18012.0300000
D,1,20150213,233400,18010.4000000
D,1,20150213,233500,18008.9500000
D,1,20150213,233600,18012.3900000
D,1,20150213,233700,18010.5200000
D,1,20150213,233800,18012.1200000
D,1,20150213,233900,18012.5900000
D,1,20150213,234000,18011.1700000
D,1,20150213,234100,18010.8400000
D,1,20150213,234200,18014.9200000
D,1,20150213,234300,18016.8500000
D,1,20150213,234400,18012.1300000
D,1,20150213,234500,18014.1500000
D,1,20150213,234600,18015.3400000
D,1,20150213,234700,18010.3700000
D,1,20150213,234800,18011.4900000
D,1,20150213,234900,18009.7200000
D,1,20150213,235000,18013.9000000
D,1,20150213,235100,18016.4300000
D,1,20150213,235200,18014.0600000
D,1,20150213,235300,18015.0800000
D,1,20150213,235400,18017.5600000
D,1,20150213,235500,18015.9200000
D,1,20150213,235600,18017.5600000
D,1,20150213,235700,18019.7700000
D,1,20150213,235800,18020.0900000
D,1,20150213,235900,18019.1600000
D,1,20150214,000000,18017.9400000
D,1,20150214,000100,18018.9000000
D,1,20150214,000200,18018.9700000
D,1,20150214,000300,18019.2300000
D,1,20150214,000400,18019.2300000
D,1,20150214,000600,18019.2300000
D,1,20150214,000700,18019.3500000
D,1,20150214,001100,18019.3500000
D,1,20150214,001600,18019.3500000
D,1,20150214,001900,18019.3500000
D,1,20150214,002000,18019.3500000
D,1,20150217,173100,17990.2900000
D,1,20150217,173200,18000.8900000
D,1,20150217,173300,17991.5500000
D,1,20150217,173400,17986.1500000
D,1,20150217,173500,17974.9100000
D,1,20150217,173600,17971.7100000
D,1,20150217,173700,17973.3700000
D,1,20150217,173800,17965.5100000
D,1,20150217,173900,17967.6900000
D,1,20150217,174000,17955.0800000
D,1,20150217,174100,17958.7000000
D,1,20150217,174200,17959.6900000
D,1,20150217,174300,17963.8900000
D,1,20150217,174400,17959.3400000
D,1,20150217,174500,17962.0800000
D,1,20150217,174600,17967.4000000
D,1,20150217,174700,17971.6400000
D,1,20150217,174800,17973.0800000
D,1,20150217,174900,17973.7900000
D,1,20150217,175000,17971.4800000
D,1,20150217,175100,17969.6400000
D,1,20150217,175200,17973.5000000
D,1,20150217,175300,17972.7300000
